id;name;newPrice;avgPrice;bestPrice;worstPrice;percentPrice;percentDiscountPrice;umbral
140;Frankenstein (Nueva Edición) (Novela Gráfica);21250.0;21250.0;21250.0;21250.0;100.0;0;70.0;https://www.buscalibre.cl/libro-frankenstein-nueva-edicion-novela-grafica/9788413412344/p/52802878
141;Sleeper: Integral;69790.0;76207.5;69790.0;80170.0;91.5789128367;8;70.0;https://www.buscalibre.cl/libro-sleeper-integral/9788418120077/p/52680412
142;La Inocencia del Nihilismo;26290.0;28811.25;26290.0;30280.0;91.2490780511;8;70.0;https://www.buscalibre.cl/libro-la-inocencia-del-nihilismo/9788417442057/p/50413304
143;Queen and Country 1;17000.0;17500.0;17000.0;18000.0;97.1428571429;2;70.0;https://www.buscalibre.cl/libro-queen-and-country-1/9788416090815/p/46509140
144;Estela Plateada de dan Slott y Mike Allred;49360.0;53940.0;49360.0;56740.0;91.5090841676;8;70.0;https://www.buscalibre.cl/libro-estela-plateada-de-dan-slott-y-mike-allred/9788413343624/p/52782809
145;Asombroso Spiderman. Si Este es mi Destino (Marvel Gold);47240.0;51635.0;47240.0;54310.0;91.4883315581;8;70.0;https://www.buscalibre.cl/libro-asombroso-spiderman-si-este-es-mi-destino-marvel-gold/9788490247631/p/46364035
146;El Poderoso Thor 1. La Saga Comienza;44490.0;48635.0;44490.0;51160.0;91.4773311401;8;70.0;https://www.buscalibre.cl/libro-el-poderoso-thor-1-la-saga-comienza/9788413342528/p/52304043
147;Los Cuatro Fantásticos: Origen;46130.0;50427.5;46130.0;53040.0;91.4778642606;8;70.0;https://www.buscalibre.cl/libro-los-cuatro-fantasticos-origen/9788490946077/p/47452171
148;Blackest Night Omnibus (10Th Anniversary) (libro en Inglés);76760.0;85716.875;76760.0;90410.0;89.5506281581;10;70.0;https://www.buscalibre.cl/libro-blackest-night-omnibus-10th-anniversary-libro-en-ingles/9781401291198/p/51848028
149;Final Crisis Omnibus (New Printing) (libro en Inglés);85120.0;96080.0;85120.0;102140.0;88.5928393006;11;70.0;https://www.buscalibre.cl/libro-final-crisis-omnibus-new-printing-libro-en-ingles/9781779501400/p/52047688
